Package Name,Category
com.qidian.Int.reader,Books & Reference
com.easybrain.backgammon.board.games,Board
com.splice.mobile,Music & Audio
com.childrensplace.tcpmobileapp,Shopping
com.moslay,Lifestyle
com.doordash.courierapp,Business
com.tigertext,Medical
cn.ubia.ubox,Tools
com.heb.myheb,Shopping
com.screw.puzzle.nuts_android,
com.press.matk,
com.lawnlove.pros,Business
com.regasoftware.udisc,Sports
com.cat.defenders.shelling.snake.and,Casual
games.burny.wooden.word.puzzle,Word
com.shaiban.audioplayer.mplayer,Music & Audio
com.axiomatic.flashlight,Tools
com.salesrabbit.android.sales.universal,Business
live.dripshop.app,Shopping
com.countryfinancial.driveriq.drivingapp,Maps & Navigation
com.quadpay.quadpay,Shopping
com.p1.chompsms,Communication
org.findmykids.app,Parenting
com.paybyphone,Auto & Vehicles
com.ups.mobile.android,Business
com.opera.app.news.local,News & Magazines
com.tickpickllc.ceobrien.tickpick,Events
com.instructure.candroid,Education
com.zumobi.msnbc,News & Magazines
com.read.goodnovel,Books & Reference
com.google.android.apps.turbo,
com.creditonebank.mobile,Finance
com.viki.android,Entertainment
com.gimica.treasuremaster,Casual
the.hexcoders.whatsdelete,
com.tour.pgatour,Sports
com.tripledot.spades,Card
com.vkontakte.android,Social
mnn.Android,News & Magazines
com.Trailmix.LoveAndPiesMerge,Puzzle
com.swifttrans.pointe,Business
com.nike.plusgps,Health & Fitness
com.sec.android.app.soundalive,
com.quickly.cleaning.kite,
com.calm.android,Health & Fitness
com.williamhill.us.nj.sports,Sports
com.shotzoom.golfshot2,Sports
games.flexus.trainminer,Simulation
swiftflyers.homeworkout.chair.floor.bed.exercise.forlazy,Health & Fitness
io.playtime,Entertainment
com.nexters.herowars,Role Playing
com.trulia.android,House & Home
com.phone.trash.terminator,
com.uywgpopjsbhdwyhuuw.games,
the.hexcoders.whatsdelete.pro,Communication
io.iopc.cleaner,
com.hitrolab.audioeditor,Music & Audio
com.clockhome.android.clock.alarm,Productivity
com.corestudiso.suzyrest,Role Playing
com.amazon.mShop.android.business.shopping,Shopping
com.qingniu.LoftillaPlus,Health & Fitness
com.substack.app,News & Magazines
com.mkarpenko.worldbox,Simulation
com.mi.calendar.agenda,Tools
com.google.android.cellbroadcastreceiver,
com.solitaire.fish.klondike.card.aquarium,Card
com.uniuni.driver.us,Business
net.itx.paychex,Business
com.pocketchamps.game,Arcade
com.mapmyrun.android2,Health & Fitness
com.tapbit.android,Tools
com.solitairetripeaks.masterdesign,Simulation
net.mtmlink.driver,Maps & Navigation
com.classdojo.android,Education
com.google.android.wearable.app,Communication
com.play.lucky.real.earn.money.free.fun.games.play.reward.income,Entertainment
devian.tubemate.home,
com.fox.weather,Weather
com.aura.news.hashtag.news,News & Magazines
com.lemonadeinc.lemonade,Finance
com.tapastic,Comics
sinet.startup.inDriver,Maps & Navigation
com.autosled,Auto & Vehicles
com.ventismedia.android.mediamonkey,Music & Audio
